#{"t_start": 1774557533.1173296, "env_id": "None"}
r,l,t
-1286.618598,5397,18.195809
-664.968688,4952,30.568774
-932.901131,4076,35.724024
580.493499,3240,39.312068
-189.070065,3183,43.324954
650.224965,2952,46.036081
104.95847,2787,48.797988
-456.253845,2516,52.543668
-1004.999286,2306,60.960199
126.337701,2432,69.468534
224.448476,2583,72.052788
-135.246001,2617,75.126802
53.847943,2240,82.650401
-64.191961,2321,84.942725
-134.563969,2250,87.161743
20.852958,2267,89.421683
18.876865,2359,91.768229
-79.554503,2293,94.018965
7.619344,2133,96.087076
-119.555179,2042,98.388405
-201.225746,2016,100.468236
11.217648,2025,102.462671
107.847122,2038,104.52648
58.55561,2072,106.633824
173.475552,2125,109.203483
148.806051,2217,111.860463
184.770064,2127,113.89996
172.242735,2270,116.833235
232.23027,2200,118.949893
227.0404,2104,121.02597
225.916608,2109,123.294674
261.014399,2073,125.367084
249.722101,2020,127.347685
196.279412,2000,129.379774
244.302245,2000,131.634039
242.303279,2051,133.872948
261.999259,2063,136.410592
244.738226,2047,138.565062
258.167401,2081,140.837761
240.293767,2033,143.000858
288.869756,2096,145.334607
248.804173,2137,147.36836
274.187387,2051,149.468248
254.321305,2107,151.487585
290.689169,2111,153.736036
273.368247,2097,155.606641
282.035579,2113,157.470132
262.628894,2167,159.370924
282.864424,2138,161.265909
288.105708,2129,163.264482
287.387139,2142,165.411257
296.626318,2108,167.350624
301.793555,2128,169.438573
310.323988,2108,171.702706
323.580118,2088,175.381549
302.132011,2050,182.177946
307.914591,2046,190.141922
320.555824,2079,192.250752
326.29198,2076,194.231082
305.305613,2024,196.226551
309.084633,2045,198.127902
298.054262,2010,200.066737
306.962167,2034,213.538585
297.32715,2014,215.530812
302.210803,2029,223.738536
292.661926,2010,225.972383
292.491305,2008,233.470445
288.64532,1998,235.579438
282.032466,1986,237.886021
261.319542,1930,239.990108
266.519231,1940,241.934836
261.208691,1931,243.812412
280.596384,1971,246.199797
269.3712,1941,248.407217
272.593179,1954,251.146614
239.71066,1888,257.903597
228.193374,1869,259.979346
227.033361,1876,261.102726
197.458004,1838,262.901017
229.62149,1882,265.063263
262.578014,1935,267.024309
286.935596,1944,268.886806
272.231911,1949,270.977986
276.335753,1959,273.053162
263.663333,1931,275.279585
272.928993,1966,277.366924
282.68425,1977,280.102913
268.295435,1938,286.734529
272.539118,1958,289.379802
265.727483,1942,291.485951
222.67409,1858,293.605674
93.811872,1748,295.914348
127.860044,1778,297.076738
134.003616,1779,299.32426
188.601643,1826,303.430174
195.125093,1834,306.940657
236.701308,1879,310.201447
246.520574,1899,313.172257
220.73375,1859,315.223094
244.580204,1889,317.30203
261.469791,1926,319.218732
268.078507,1941,321.287196
258.408059,1914,323.610147
276.295251,1957,337.678284
287.576171,1985,340.128001
283.107379,1976,341.354575
259.548911,1924,343.643663
273.20051,1948,345.991302
269.117604,1952,354.11652
289.625467,1990,356.356777
283.950451,1978,358.228628
288.379174,1992,360.119327
293.187287,2009,362.005714
286.434678,1990,363.958358
278.976273,1967,365.828053
290.864486,1994,367.706106
289.395721,1995,369.590985
285.512492,1986,371.526794
264.784617,1930,373.415381
261.850765,1922,375.243053
269.631075,1941,377.093702
269.17966,1941,378.960804
289.455534,1951,380.78638
268.764668,1943,382.610141
274.444386,1960,384.564784
246.579369,1897,386.535205
212.377854,1846,388.474477
192.400258,1827,389.539721
159.66701,1800,391.384312
108.135732,1759,393.377925
141.543422,1787,395.1826
150.488217,1793,397.043142
179.116077,1804,398.8334
176.370035,1817,405.991972
182.740305,1823,407.751189
168.849925,1811,408.741224
185.373969,1823,410.493762
213.516785,1849,412.270915
206.011053,1847,414.040035
189.715032,1825,415.835913
181.445228,1820,417.612211
193.153966,1833,419.367032
155.099152,1797,421.147508
